Starting new measurement at 08.May.2019 - 12:47:26
Time, Eurotherm2416, Keithley2000
7986.995,58.9,10.8740797
8001.783,58.8,10.8932406
8017.082,58.7,10.9371803
8031.87,58.6,10.8848195
8047.169,58.5,10.9463204
8061.957,58.6,10.872002
8076.748,58.5,10.9551073
8092.046,58.3,10.9385199
8106.835,58.5,10.916852
8122.133,58.1,10.9416882
8136.922,58.0,10.8674301
8152.22,58.1,10.9278903
8167.018,58.0,10.9337568
8181.807,57.9,10.9362482
8211.894,57.8,10.8886665
8227.192,57.6,10.90807
8241.981,57.9,10.9236725
8257.289,57.5,10.8954816
8272.078,57.5,10.9563587
8287.376,57.3,10.9608671
8302.165,57.4,10.9203601
8316.95,57.1,10.9023243
8332.248,57.0,10.9393279
8347.037,57.0,10.8685073
8362.345,56.9,10.9553365
8377.144,56.8,10.8906967
8392.442,56.7,10.9574431
8407.24,56.8,10.8853508
8422.039,56.6,10.9259104
8437.337,56.5,10.9089496
8452.126,56.4,10.8978592
8467.434,56.5,10.9000699
8482.223,56.4,10.9147239
8497.531,56.3,10.8855275
8512.315,56.3,10.8796562
8527.623,56.2,10.9415999
8542.412,56.3,10.8730163
8557.2,56.2,10.8989863
8572.509,55.9,10.9655536
8587.297,56.0,10.9180903
8602.596,55.9,10.8842237
8617.394,55.8,10.8583002
8632.692,55.6,10.9167327
8647.481,55.6,10.9282884
8662.269,55.5,10.8909864
8677.568,55.4,10.8651256
8692.356,55.5,10.9215263
8707.655,55.3,10.8910972
8722.443,55.3,10.845857
8737.742,55.3,10.8549099
8752.54,55.1,10.8571118
8767.339,55.0,10.8583532
8782.637,54.9,10.8809542
8797.426,54.9,10.9190402
8812.724,54.8,10.8447749
8827.512,54.7,10.8852963
8842.811,54.9,10.9505454
8857.599,54.7,10.8942569
8872.898,54.5,10.8742031
8887.696,54.5,10.9339234
8902.491,54.5,10.894244
8917.8,54.3,10.9677335
8932.588,54.4,11.0092866
8947.887,54.2,10.9000565
8962.675,54.1,10.8842768
8977.464,54.0,10.9507232
8992.762,54.1,10.9056245
9007.55,54.0,10.9199474
9022.849,53.9,10.8865311
9037.637,53.7,10.9643222
9052.936,53.7,10.9283584
9067.734,53.8,10.9133363
9083.033,53.8,10.9281267
9097.832,53.6,10.9446189
9112.621,53.7,10.9145499
9127.919,53.6,10.9145871
9142.718,53.3,10.9271235
9158.016,53.2,10.9415292
9172.805,53.3,10.9272312
9188.103,53.2,10.8975695
9202.892,53.3,10.8537299
9217.69,53.0,10.9044975
9232.988,53.0,10.9912991
9247.777,53.1,10.9755196
9263.075,52.8,10.9414199
9277.874,52.9,10.928305
9293.169,52.8,10.9417063
9307.958,52.6,10.9373754
9322.746,52.7,10.9370203
9338.045,52.6,10.9305592
9352.833,52.5,10.9485409
9368.132,52.4,10.9318638
9382.92,52.6,10.928057
9398.218,52.3,10.9126341
9413.007,52.5,10.9348195
9427.795,52.3,10.9012403
9443.094,52.3,10.9078367
9457.882,52.1,10.9710908
9473.191,52.0,10.9530825
9487.977,51.9,10.9439657
9503.275,52.1,10.9824121
9518.064,51.9,10.9584886
9533.362,51.8,11.0115871
